"ParentID","CurveName","Ordinal","vA","vB","vC","vD","vE"
55068,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
55068,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
55068,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
60521,"Extremely Inverse",30,0.04,6.93,0.62,19.42,2.67
60521,"Inverse",10,0.70,2.90,0.80,-1.40,0.65
60521,"Very Inverse",20,0.54,4.81,0.10,-7.80,48.23
60570,"Extremely Inverse",30,0.04,6.93,0.62,19.42,2.67
60570,"Inverse",10,0.70,2.90,0.80,-1.40,0.65
60570,"Very Inverse",20,0.54,4.81,0.10,-7.80,48.23
60757,"Extremly Inverse",40,0.03,0.22,0.50,3.00,0.72
60757,"Moderately Inverse",20,0.17,0.67,0.80,-0.08,0.12
60757,"Normal Inverse",10,0.02,2.26,0.30,-4.18,9.12
60757,"Very Inverse",30,0.06,0.79,0.34,-0.28,4.05
60772,"Extremly Inverse",40,0.03,0.22,0.50,3.00,0.72
60772,"Moderately Inverse",20,0.17,0.67,0.80,-0.08,0.12
60772,"Normal Inverse",10,0.02,2.26,0.30,-4.18,9.12
60772,"Very Inverse",30,0.06,0.79,0.34,-0.28,4.05
60787,"Extremly Inverse",40,0.03,0.22,0.50,3.00,0.72
60787,"Moderately Inverse",20,0.17,0.67,0.80,-0.08,0.12
60787,"Normal Inverse",10,0.02,2.26,0.30,-4.18,9.12
60787,"Very Inverse",30,0.06,0.79,0.34,-0.28,4.05
64760,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
64760,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
64760,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
64760,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
64772,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
64772,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
64772,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
64772,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
64789,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
64789,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
64789,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
64789,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
64811,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
64811,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
64811,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
64811,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
64828,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
64828,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
64828,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
