"ParentID","CurveName","Ordinal","vA","vB","vC"
86408,"S T Inverse",40,1.72e-03,3.7e-03,0.02
86408,"Very Inverse",20,2.85,0.07,2.00
86441,"Ext Inverse",10,6.40,0.02,2.00
86441,"Inverse",30,8.6e-03,0.01,0.02
86441,"L T Ext. Inverse",60,64.07,0.25,2.00
86441,"L T Inverse",80,0.08,0.18,0.02
86441,"L T Very Inverse",70,28.55,0.71,2.00
86441,"Recloser Curve #8",90,4.21,0.01,1.80
86441,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
86441,"S T Inverse",40,1.72e-03,3.7e-03,0.02
86441,"Very Inverse",20,2.85,0.07,2.00
87768,"Extremely Inverse",10,6.40,0.02,2.00
87768,"Inverse",30,8.6e-03,0.01,0.02
87768,"Long Time Ext. Inv.",60,64.07,0.25,2.00
87768,"Long Time Inverse",80,0.08,0.18,0.02
87768,"Long Time Very Inv.",70,28.55,0.71,2.00
87768,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
87768,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
87768,"Very Inverse",20,2.85,0.07,2.00
87773,"Extremely Inverse",10,6.40,0.02,2.00
87773,"Inverse",30,8.6e-03,0.01,0.02
87773,"Long Time Ext. Inv.",60,64.07,0.25,2.00
87773,"Long Time Inverse",80,0.08,0.18,0.02
87773,"Long Time Very Inv.",70,28.55,0.71,2.00
87773,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
87773,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
87773,"Very Inverse",20,2.85,0.07,2.00
87778,"Extremely Inverse",10,6.40,0.02,2.00
87778,"Inverse",30,8.6e-03,0.01,0.02
87778,"Long Time Ext. Inv.",60,64.07,0.25,2.00
87778,"Long Time Inverse",80,0.08,0.18,0.02
87778,"Long Time Very Inv.",70,28.55,0.71,2.00
87778,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
87778,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
87778,"Very Inverse",20,2.85,0.07,2.00
