"ID","ParentID","AuxKey","Ordinal","Min","Max","Step","RelUnit","UseRange","RangeKey","ScaleWithTimeMultiplier"
60924,68452,0,10,0.10,9.90,0.10,0,0,204,0
60925,68453,0,10,0.10,3.18,0.02,0,0,102,0
60926,68454,0,10,0.40,19.80,0.20,0,0,102,0
60927,68455,0,10,0.02,0.12,-1.00,0,0,102,0
60928,68457,0,10,0.10,9.90,0.10,0,0,204,0
60929,68458,0,10,0.10,3.18,0.02,0,0,102,0
60930,68459,0,10,0.20,3.18,0.02,0,0,102,0
60931,68460,0,10,0.02,0.02,-1.00,0,0,102,0
60932,68462,0,10,0.10,9.90,0.10,0,0,204,0
60933,68463,0,10,0.50,15.90,0.10,0,0,102,0
60934,68464,0,10,2.00,99.00,1.00,0,0,102,0
60935,68465,0,10,0.02,0.12,-1.00,0,0,102,0
60936,68467,0,10,0.10,9.90,0.10,0,0,204,0
60937,68468,0,10,0.50,15.90,0.10,0,0,102,0
60938,68469,0,10,1.00,15.90,1.00,0,0,102,0
60939,68470,0,10,0.02,0.02,-1.00,0,0,102,0
60940,68472,0,10,0.10,9.90,0.10,0,0,204,0
60941,68473,0,10,0.50,15.90,0.10,0,0,102,0
60942,68474,0,10,2.00,99.00,1.00,0,0,102,0
60943,68475,0,10,0.02,0.12,-1.00,0,0,102,0
60944,68477,0,10,0.10,9.90,0.10,0,0,204,0
60945,68478,0,10,0.50,15.90,0.10,0,0,102,0
60946,68479,0,10,1.00,15.90,1.00,0,0,102,0
60947,68480,0,10,0.02,0.02,-1.00,0,0,102,0
60948,68482,0,10,0.10,9.90,0.10,0,0,204,0
60949,68483,0,10,0.10,3.18,0.02,0,0,102,0
60950,68484,0,10,0.40,19.80,0.20,0,0,102,0
60951,68485,0,10,0.02,0.12,-1.00,0,0,102,0
60952,68487,0,10,0.10,9.90,0.10,0,0,204,0
60953,68488,0,10,0.10,3.18,0.02,0,0,102,0
60954,68489,0,10,0.20,3.18,0.02,0,0,102,0
60955,68490,0,10,0.02,0.02,-1.00,0,0,102,0
60956,68492,0,10,0.10,9.90,0.10,0,0,204,0
60957,68493,0,10,0.10,3.18,0.02,0,0,102,0
60958,68494,0,10,0.40,19.80,0.20,0,0,102,0
60959,68495,0,10,0.02,0.12,-1.00,0,0,102,0
60960,68497,0,10,0.10,9.90,0.10,0,0,204,0
60961,68498,0,10,0.10,3.18,0.02,0,0,102,0
60962,68499,0,10,0.20,3.18,0.02,0,0,102,0
60963,68500,0,10,0.02,0.02,-1.00,0,0,102,0
60964,68505,0,10,0.10,0.50,-1.00,0,1,102,0
60965,68505,0,20,0.50,2.00,-1.00,0,1,102,0
60966,68505,0,30,1.50,6.00,-1.00,0,1,102,0
60967,68505,0,40,4.00,12.00,-1.00,0,1,102,0
60992,68526,1002,1,0.00,2.00,0.01,0,1,101,0
60993,68526,1003,1,0.00,2.00,0.01,0,1,101,0
60994,68527,1002,1,0.00,2.00,0.01,0,1,101,0
60995,68527,1003,1,0.00,2.00,0.01,0,1,101,0
61014,68552,1,1,0.05,3.00,-1.00,0,1,202,0
61018,68559,1,1,0.05,3.00,-1.00,0,1,202,0
61068,68622,0,10,1.60,56.00,1.00,0,0,102,0
61069,68622,0,20,3.20,112.00,1.00,0,1,102,0
61070,68622,0,30,6.40,224.00,1.00,0,1,102,0
61071,68622,0,40,12.80,448.00,1.00,0,1,102,0
61076,68624,0,10,1.60,56.00,1.00,0,0,102,0
61077,68624,0,20,3.20,112.00,1.00,0,1,102,0
61078,68624,0,30,6.40,224.00,1.00,0,1,102,0
61079,68624,0,40,12.80,448.00,1.00,0,1,102,0
61080,68625,0,10,1.60,56.00,1.00,0,0,102,0
61081,68625,0,20,3.20,112.00,1.00,0,1,102,0
61082,68625,0,30,6.40,224.00,1.00,0,1,102,0
61083,68625,0,40,12.80,448.00,1.00,0,1,102,0
61084,68626,0,10,16.00,1120.00,1.00,0,0,102,0
61085,68626,0,20,32.00,2240.00,1.00,0,1,102,0
61086,68626,0,30,64.00,4480.00,1.00,0,1,102,0
61087,68626,0,40,128.00,8960.00,1.00,0,1,102,0
61088,68627,0,10,16.00,1120.00,1.00,0,0,102,0
61089,68627,0,20,32.00,2240.00,1.00,0,1,102,0
61090,68627,0,30,64.00,4480.00,1.00,0,1,102,0
61091,68627,0,40,128.00,8960.00,1.00,0,1,102,0
61092,68629,0,10,16.00,1120.00,1.00,0,0,102,0
61093,68629,0,20,32.00,2240.00,1.00,0,1,102,0
61094,68629,0,30,64.00,4480.00,1.00,0,1,102,0
61095,68629,0,40,128.00,8960.00,1.00,0,1,102,0
61096,68630,0,10,16.00,1120.00,1.00,0,0,102,0
61097,68630,0,20,32.00,2240.00,1.00,0,1,102,0
61098,68630,0,30,64.00,4480.00,1.00,0,1,102,0
61099,68630,0,40,128.00,8960.00,1.00,0,1,102,0
61116,68635,0,10,0.04,3.00,-1.00,0,0,102,0
61117,68636,0,10,0.04,3.00,-1.00,0,0,102,0
61118,68637,0,10,0.04,3.00,-1.00,0,0,102,0
