"ID","Section_ID","MinPickup","MaxPickup"
74672,74671,1.03,40.00
74676,74675,1.03,40.00
74683,74682,1.03,40.00
74688,74687,1.03,40.00
74690,74689,1.03,40.00
74696,74695,1.03,40.00
74699,74698,1.03,40.00
74702,74701,1.03,40.00
74705,74704,1.03,40.00
75105,75104,1.03,40.00
75139,75138,1.03,40.00
75229,75228,1.03,40.00
75236,75235,1.03,40.00
75249,75248,1.03,40.00
75262,75261,1.03,40.00
76214,76213,1.03,40.00
76231,76230,1.03,40.00
76248,76247,1.03,40.00
76265,76264,1.03,40.00
76289,76288,1.03,40.00
76306,76305,1.03,40.00
76323,76322,1.03,40.00
76340,76339,1.03,40.00
76475,76474,1.03,40.00
76482,76481,1.03,40.00
76489,76488,1.03,40.00
76509,76508,1.03,40.00
76523,76522,1.03,40.00
76537,76536,1.03,40.00
76551,76550,1.03,40.00
76737,76736,1.03,40.00
76808,76807,1.03,40.00
76820,76819,1.03,40.00
76848,76847,1.03,40.00
76869,76868,1.03,40.00
77085,77084,1.03,40.00
77090,77089,1.03,40.00
77094,77093,1.03,40.00
77099,77098,1.03,40.00
77291,77290,1.03,40.00
77305,77304,1.03,40.00
77319,77318,1.03,40.00
77333,77332,1.03,40.00
77347,77346,1.03,40.00
77367,77366,1.03,40.00
77381,77380,1.03,40.00
77395,77394,1.03,40.00
77409,77408,1.03,40.00
77427,77426,1.03,40.00
77441,77440,1.03,40.00
77455,77454,1.03,40.00
77469,77468,1.03,40.00
77489,77488,1.03,40.00
77503,77502,1.03,40.00
77517,77516,1.03,40.00
77531,77530,1.03,40.00
77819,77818,1.03,40.00
77854,77853,1.03,40.00
77906,77905,1.50,20.00
77919,77918,1.50,20.00
77924,77923,1.50,20.00
77933,77932,1.50,20.00
77940,77939,1.03,40.00
77974,77973,1.03,40.00
77979,77978,1.03,40.00
77984,77983,1.03,40.00
78105,78104,1.03,40.00
78131,78130,1.03,40.00
78154,78153,1.03,40.00
78161,78160,1.03,40.00
78168,78167,1.03,40.00
78175,78174,1.03,40.00
78517,78516,1.03,40.00
78521,78520,1.03,40.00
78525,78524,1.03,40.00
78530,78529,1.03,40.00
78551,78550,1.03,40.00
78572,78571,1.03,40.00
78722,78721,1.03,40.00
78726,78725,1.03,40.00
78930,78929,1.03,40.00
78935,78934,1.03,40.00
78945,78944,1.03,40.00
78965,78964,1.03,40.00
