"ID","Mfr_ID","Type","Note","MultFunction","DCOffsetFilter","RelayClass","RelayConstr"
463,1,"IRC-7","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
464,1,"IRC-8","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
465,1,"IRC-9","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
466,1,"IRD-11","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
467,1,"IRD-2","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
468,1,"IRD-5","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
469,1,"IRD-6","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
470,1,"IRD-7","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
471,1,"IRD-8","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
472,1,"IRD-9","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
473,1,"IRP-11","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
474,1,"IRP-2","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
475,1,"IRP-5","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
476,1,"IRP-6","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
477,1,"IRP-7","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
478,1,"IRP-8","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
479,1,"IRP-9","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
