"ParentID","CurveName","Ordinal","vK","vE","DTAfter","DTMinTime"
72869,"Extremely Inverse",30,80.00,2.00,,
72869,"Normal",10,0.14,0.02,,
72869,"Very Inverse",20,13.50,1.00,,
72875,"Extremely Inverse",30,80.00,2.00,,
72875,"Normal",10,0.14,0.02,,
72875,"Very Inverse",20,13.50,1.00,,
72931,"IEC Curve A",10,0.14,0.02,,
72931,"IEC Curve B",20,13.50,1.00,,
72931,"IEC Curve C",30,80.00,2.00,,
72931,"IEC Short Inv",40,0.05,0.04,,
72959,"IEC Curve A",10,0.14,0.02,,
72959,"IEC Curve B",20,13.50,1.00,,
72959,"IEC Curve C",30,80.00,2.00,,
72959,"IEC Short Inv",40,0.05,0.04,,
73001,"IEC Curve A",10,0.14,0.02,,
73001,"IEC Curve B",20,13.50,1.00,,
73001,"IEC Curve C",30,80.00,2.00,,
73001,"IEC Short Inv",40,0.05,0.04,,
73264,"(10) IEC Very Inv",20,13.50,1.00,,0.04
73264,"(11) IEC Inv",30,0.14,0.02,,0.04
73264,"(12) IEC Ext Inv",40,80.00,2.00,,0.04
73264,"(13) IEC ST Inv",50,0.05,0.04,,0.04
73264,"(14) IEC LT Inv",60,120.00,1.00,,0.04
73264,"(9) IEC Normal Inv",10,0.14,0.02,,0.04
73285,"(10) IEC Very Inv",20,13.50,1.00,,0.04
73285,"(11) IEC Inv",30,0.14,0.02,,0.04
73285,"(12) IEC Ext Inv",40,80.00,2.00,,0.04
73285,"(13) IEC ST Inv",50,0.05,0.04,,0.04
73285,"(14) IEC LT Inv",60,120.00,1.00,,0.04
73285,"(9) IEC Normal Inv",10,0.14,0.02,,0.04
73335,"E Inv",30,80.00,2.00,,
73335,"L Inv",40,120.00,1.00,,
73335,"N Inv",10,0.14,0.02,,
73335,"S Inv",50,0.05,0.04,,
73335,"V Inv",20,13.50,1.00,,
73366,"E Inv",30,80.00,2.00,,
73366,"L Inv",40,120.00,1.00,,
73366,"N Inv",10,0.14,0.02,,
73366,"S Inv",50,0.05,0.04,,
73366,"V Inv",20,13.50,1.00,,
73383,"E Inv",30,80.00,2.00,,
73383,"L Inv",40,120.00,1.00,,
73383,"N Inv",10,0.14,0.02,,
73383,"S Inv",50,0.05,0.04,,
73383,"V Inv",20,13.50,1.00,,
73406,"E Inv",30,80.00,2.00,,
73406,"L Inv",40,120.00,1.00,,
73406,"N Inv",10,0.14,0.02,,
73406,"S Inv",50,0.05,0.04,,
73406,"V Inv",20,13.50,1.00,,
73462,"E Inv",30,80.00,2.00,,
73462,"L Inv",40,120.00,1.00,,
73462,"N Inv",10,0.14,0.02,,
73462,"S Inv",50,0.05,0.04,,
73462,"V Inv",20,13.50,1.00,,
73468,"E Inv",30,80.00,2.00,,
73468,"L Inv",40,120.00,1.00,,
73468,"N Inv",10,0.14,0.02,,
73468,"S Inv",50,0.05,0.04,,
73468,"V Inv",20,13.50,1.00,,
73486,"E Inv",30,80.00,2.00,,
73486,"L Inv",40,120.00,1.00,,
73486,"N Inv",10,0.14,0.02,,
73486,"S Inv",50,0.05,0.04,,
73486,"V Inv",20,13.50,1.00,,
73516,"E Inv",30,80.00,2.00,,
73516,"L Inv",40,120.00,1.00,,
73516,"N Inv",10,0.14,0.02,,
73516,"S Inv",50,0.05,0.04,,
73516,"V Inv",20,13.50,1.00,,
73522,"E Inv",30,80.00,2.00,,
73522,"L Inv",40,120.00,1.00,,
73522,"N Inv",10,0.14,0.02,,
73522,"S Inv",50,0.05,0.04,,
73522,"V Inv",20,13.50,1.00,,
73540,"E Inv",30,80.00,2.00,,
73540,"L Inv",40,120.00,1.00,,
73540,"N Inv",10,0.14,0.02,,
73540,"S Inv",50,0.05,0.04,,
73540,"V Inv",20,13.50,1.00,,
74198,"Extremely Inverse",30,80.00,2.00,,
74198,"Long-time Inverse",40,120.00,1.00,,
74198,"Normal Inverse",10,0.14,0.02,,
74198,"Very Inverse",20,13.50,1.00,,
74209,"Extremely Inverse",30,80.00,2.00,,
74209,"Long-time Inverse",40,120.00,1.00,,
74209,"Normal Inverse",10,0.14,0.02,,
74209,"Very Inverse",20,13.50,1.00,,
74219,"Curve A (BS142)",10,0.14,0.02,,
74219,"Curve B (BS142)",20,13.50,1.00,,
74219,"Curve C (BS142)",30,80.00,2.00,,
74219,"Short Inverse",40,0.05,0.04,,
74280,"Curve A (BS142)",10,0.14,0.02,,
74280,"Curve B (BS142)",20,13.50,1.00,,
74280,"Curve C (BS142)",30,80.00,2.00,,
74280,"Short Inverse",40,0.05,0.04,,
74334,"Curve A (BS142)",10,0.14,0.02,,
74334,"Curve B (BS142)",20,13.50,1.00,,
74334,"Curve C (BS142)",30,80.00,2.00,,
74334,"Short Inverse",40,0.05,0.04,,
74465,"Extremely Inverse",30,80.00,2.00,,
74465,"Long-time Inverse",40,120.00,1.00,,
74465,"Normal Inverse",10,0.14,0.02,,
74465,"Very Inverse",20,13.50,1.00,,
74468,"Extremely Inverse",30,80.00,2.00,,
74468,"Long-time Inverse",40,120.00,1.00,,
74468,"Normal Inverse",10,0.14,0.02,,
74468,"Very Inverse",20,13.50,1.00,,
74471,"Extremely Inverse",30,80.00,2.00,,
74471,"Long-time Inverse",40,120.00,1.00,,
74471,"Normal Inverse",10,0.14,0.02,,
74471,"Very Inverse",20,13.50,1.00,,
74474,"Extremely Inverse",30,80.00,2.00,,
74474,"Long-time Inverse",40,120.00,1.00,,
74474,"Normal Inverse",10,0.14,0.02,,
74474,"Very Inverse",20,13.50,1.00,,
74479,"Extremely Inverse",30,80.00,2.00,,
74479,"Long-time Inverse",40,120.00,1.00,,
74479,"Normal Inverse",10,0.14,0.02,,
74479,"Very Inverse",20,13.50,1.00,,
74484,"Extremely Inverse",30,80.00,2.00,,
74484,"Long-time Inverse",40,120.00,1.00,,
74484,"Normal Inverse",10,0.14,0.02,,
74484,"Very Inverse",20,13.50,1.00,,
74493,"Extremely Inverse",30,80.00,2.00,,
74493,"Normal",10,0.14,0.02,,
74493,"Very Inverse",20,13.50,1.00,,
74512,"Extremely Inverse",30,80.00,2.00,,
74512,"Normal",10,0.14,0.02,,
74512,"Very Inverse",20,13.50,1.00,,
74529,"Extremely Inverse",30,80.00,2.00,,
74529,"Normal",10,0.14,0.02,,
74529,"Very Inverse",20,13.50,1.00,,
74547,"Extremely Inverse",30,80.00,2.00,,
74547,"Normal",10,0.14,0.02,,
74547,"Very Inverse",20,13.50,1.00,,
74569,"Extremely Inverse",30,80.00,2.00,20.00,0.04
74569,"Normal Inv  (IEC)",10,0.14,0.02,20.00,0.04
74569,"Very Inv  (IEC)",20,13.50,1.00,20.00,0.04
74582,"Extremely Inverse",30,80.00,2.00,20.00,0.04
74582,"Normal Inv  (IEC)",10,0.14,0.02,20.00,0.04
74582,"Very Inv  (IEC)",20,13.50,1.00,20.00,0.04
75040,"E Inv",30,80.00,2.00,,
75040,"L Inv",40,120.00,1.00,,
75040,"MI Special",60,2.60,1.00,,
75040,"N Inv",10,0.14,0.02,,
75040,"S Inv",50,0.05,0.04,,
75040,"V Inv",20,13.50,1.00,,
75061,"E Inv",30,80.00,2.00,,
75061,"L Inv",40,120.00,1.00,,
75061,"MI Special",60,2.60,1.00,,
75061,"N Inv",10,0.14,0.02,,
