device_class,canonical_mfr,family,models_covered,doc_type,doc_number,title,normalized_relpath,provenance_type,source_url,retrieved,source_origin,original_name,not_in_workbook,dup_of,notes
Trip Units,Utility Relay,AC-PRO,AC-PRO,curve-book,,AC PRO (CURVE) UNBAL & GF,Trip Units/Utility Relay/AC-PRO/AC-PRO (CURVE) UNBAL & GF.pdf,local,,,lib-trips,TRIP UNITS RESA POWER\AC PRO CURVES & TIME CHART\AC-PRO (CURVE) UNBAL & GF.pdf,,,
Trip Units,Utility Relay,AC-PRO,AC-PRO,curve-book,,AC PRO STATIC TRIP II SETTINGS CONVERSION,Trip Units/Utility Relay/AC-PRO/AC-PRO STATIC TRIP II SETTINGS CONVERSION.pdf,local,,,lib-trips,TRIP UNITS RESA POWER\AC PRO CURVES & TIME CHART\AC-PRO STATIC TRIP II SETTINGS CONVERSION.pdf,,,
Trip Units,Utility Relay,AC-PRO,AC-PRO,curve-book,,AC PRO TRIP TIMES CHARTS,Trip Units/Utility Relay/AC-PRO/AC-PRO TRIP TIMES CHARTS.pdf,local,,,lib-trips,TRIP UNITS RESA POWER\AC PRO CURVES & TIME CHART\AC-PRO TRIP TIMES CHARTS.pdf,,,
_quarantine,Unknown,Unclassified,,tool,,GE TRIP UNIT TESTING,_quarantine/lib-trips/GE TRIP UNIT TESTING.xlsx,local,,,lib-trips,TRIP UNITS RESA POWER\GE TRIP UNIT TESTING.xlsx,,,non-PDF or invalid PDF
Trip Units,Schneider Electric,Micrologic,Micrologic,instruction-manual,descriptions,0600IB1201 (bookmap),Trip Units/Schneider Electric/Micrologic/0600IB1201 (bookmap).pdf,local,,,staging,0600IB1201 (bookmap).pdf,,,
Breakers,Unknown,Unclassified,Unclassified,instruction-manual,CAUTIONS,1010466024 la 3000,Breakers/Unknown/Unclassified/1010466024-la-3000.pdf,local,,,staging,1010466024-la-3000.pdf,Y,,
Trip Units,General Electric,EntelliGuard,EntelliGuard,selectivity-table,designs,109143817 GE Circuit Breakers,Trip Units/General Electric/EntelliGuard/109143817-GE-Circuit-Breakers.pdf,local,,,staging,109143817-GE-Circuit-Breakers.pdf,,,
Trip Units,LSIS,Susol,Susol,instruction-manual,Catalogue,145829859 Susol MCCB Manual 1,Trip Units/LSIS/Susol/145829859-Susol-MCCB-Manual-1.pdf,local,,,staging,145829859-Susol-MCCB-Manual-1.pdf,,,
Breakers,ABB,Unclassified,Unclassified,catalog,catalogue,146960550 ABB Circuit Breaker,Breakers/ABB/Unclassified/146960550-ABB-Circuit-Breaker.pdf,local,,,staging,146960550-ABB-Circuit-Breaker.pdf,,,
Trip Units,Siemens,Static Trip II,Static Trip II,curve-book,DESCRIPTION,Manualslib,Trip Units/Siemens/Static Trip II/1cb6dc.pdf,local,,,staging,1cb6dc.pdf,,,
